Washington,Illinois,California,Arizona,Massachusetts,Wisconsin,Texas,Nebraska,Utah,Oregon,Rhode Island,New York,Florida,New Hampshire,Georgia,North Carolina,New Jersey,Tennessee,Maryland,Colorado,Nevada,Oklahoma,Pennsylvania,South Carolina,Hawaii,Indiana,Kentucky,Minnesota,Vermont,Virginia,DC,Kansas,Missouri,Connecticut,Iowa,Ohio,Louisiana,South Dakota,Michigan,New Mexico,North Dakota,Wyoming,Mississippi,Arkansas,Delaware,Alaska,Maine,Puerto Rico,Montana,Alabama,Idaho,Virgin Islands,Guam,West Virginia,Northern Mariana Islands,American Samoa
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,1,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,1,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,1,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,8,1,1,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,9,1,1,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,9,1,1,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,9,1,1,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,11,1,1,1,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,11,1,1,1,10,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,26,1,1,1,10,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,26,1,1,1,10,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,27,1,1,1,11,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,28,1,1,1,11,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3,33,1,1,1,11,13,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,4,38,1,2,1,11,13,1,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,4,45,2,2,1,11,13,1,2,2,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,4,55,2,2,1,12,13,1,2,2,11,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,5,67,2,3,1,16,13,1,2,2,22,4,2,2,1,2,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,6,81,3,8,1,19,14,3,2,3,44,7,2,3,2,4,1,3,8,2,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,100,5,13,1,19,14,3,6,3,89,12,4,7,2,4,1,3,8,2,1,4,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,7,112,5,28,1,23,16,3,13,3,106,13,4,11,2,6,3,5,8,4,1,6,6,2,2,4,2,1,2,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,11,172,6,41,2,24,16,3,13,3,142,14,4,17,7,11,4,6,12,4,1,10,7,2,4,5,2,1,5,4,1,1,2,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,19,179,6,92,3,31,17,4,14,5,173,23,5,22,7,15,7,9,17,4,2,12,9,2,6,7,3,1,8,4,1,1,2,13,3,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,25,202,9,95,6,33,23,5,20,5,217,26,5,31,8,23,8,13,34,7,2,16,10,2,11,7,5,2,10,10,1,1,3,14,4,13,8,2,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
419,32,252,9,108,8,41,24,7,30,5,326,46,6,31,16,29,18,13,49,11,2,22,12,2,12,11,9,2,17,10,5,2,6,16,5,14,8,12,6,1,1,1,6,4,1,1,0,0,0,0,0,0,0,0,0
511,46,320,9,123,19,58,27,7,30,20,421,70,7,41,18,50,26,18,78,19,3,41,13,2,12,11,14,2,30,10,6,4,11,17,13,36,9,25,10,1,2,6,7,4,1,2,3,4,6,1,0,0,0,0,0
609,66,381,12,138,27,69,29,21,36,20,610,70,7,65,25,75,32,27,103,21,4,47,19,4,15,18,21,5,42,16,8,5,20,18,26,77,9,33,13,1,3,6,9,4,1,3,4,6,12,5,1,0,0,0,0
675,94,478,13,164,33,80,31,29,39,20,732,109,13,97,32,98,39,32,136,26,8,68,28,7,19,21,35,8,45,17,9,5,26,22,37,103,9,53,17,1,3,10,16,7,1,12,5,6,23,5,1,3,0,0,0
794,104,588,18,197,47,87,33,40,46,21,950,141,17,118,34,176,52,39,161,45,10,81,33,10,24,22,54,12,51,22,11,9,41,22,50,137,10,54,21,1,10,12,22,8,3,17,5,8,29,5,2,3,0,0,0
908,159,732,20,218,72,106,36,51,66,23,1374,210,26,142,42,268,73,57,183,55,18,101,47,14,30,26,60,14,67,31,17,16,68,29,67,196,11,65,23,5,15,21,22,16,6,32,5,8,39,9,2,3,1,0,0
1026,286,893,28,256,106,166,43,65,74,33,2382,326,39,193,66,427,98,85,216,82,29,139,60,16,39,35,77,19,78,36,22,21,96,38,90,280,11,80,28,7,17,34,33,26,9,43,5,12,51,11,3,8,2,0,0
1228,420,1067,47,328,155,248,47,80,87,44,4152,434,44,282,104,735,155,108,278,99,44,187,81,26,56,47,89,22,94,39,35,35,159,44,120,392,14,334,35,19,18,50,62,30,12,52,6,19,78,23,3,12,5,0,0
1404,583,1283,70,413,216,377,53,112,114,44,7102,564,55,482,144,896,237,150,364,165,49,269,126,37,79,63,115,29,115,71,49,73,194,45,169,537,14,548,43,27,22,80,100,39,14,57,14,19,106,31,6,14,8,0,0
1655,751,1544,104,525,281,547,61,138,137,66,10356,764,65,552,184,1336,312,195,475,165,53,388,172,48,126,84,138,49,152,77,57,93,223,68,247,763,14,787,57,28,24,140,118,45,21,70,21,29,131,42,6,15,12,0,0
1844,1047,1851,153,646,382,632,62,182,161,83,15168,1000,78,620,269,1914,424,245,591,190,67,504,194,56,201,103,171,52,219,98,66,130,327,90,351,837,21,1033,65,30,26,207,165,56,22,89,23,34,157,47,17,27,16,0,0
2101,1285,2240,234,777,418,728,73,257,191,106,20875,1222,101,800,303,2844,522,290,721,265,81,644,299,77,259,124,235,75,254,116,82,183,415,105,444,1172,28,1324,83,32,28,249,201,87,36,107,31,45,196,50,17,29,16,0,0
2469,1535,2644,326,1159,481,857,77,298,209,124,25665,1467,108,1097,399,3675,679,349,912,315,106,851,342,90,366,157,262,95,290,137,99,255,618,124,564,1388,30,1791,100,36,37,320,232,104,42,118,39,51,242,73,17,32,39,0,0
2585,1875,3183,402,1838,623,1119,84,346,266,132,33066,1965,137,1387,563,4402,806,423,1086,405,164,1151,424,95,479,198,287,123,391,183,132,377,875,145,706,1795,41,2294,112,45,49,377,308,119,59,142,51,65,386,123,17,32,51,0,0
3208,2538,4060,508,2417,754,1543,92,402,316,165,38987,2477,158,1643,638,6876,981,581,1432,535,248,1690,456,106,656,248,346,158,604,231,171,507,1012,179,867,2305,46,2878,136,58,56,487,351,143,69,155,64,90,538,189,17,49,76,0,0
3770,3029,4914,665,3240,930,1942,100,480,414,203,44635,3198,187,2198,783,8825,1180,775,1735,621,322,2218,539,120,982,302,398,184,606,267,212,671,1291,235,1144,2746,58,3657,191,68,73,579,386,165,85,168,79,121,639,231,19,53,96,0,0
4311,3547,5565,773,4257,1042,2161,122,608,479,239,53363,4038,214,2447,972,11124,1364,1066,2061,738,377,2815,660,151,1232,394,441,211,740,304,271,838,1524,298,1406,3315,68,4635,208,94,84,669,409,214,102,211,100,147,720,261,19,57,113,2,0
4896,4613,6266,929,4955,1120,2712,137,719,548,294,59568,4942,258,2683,1167,13386,1570,1244,2315,920,429,3441,774,175,1514,439,504,235,890,342,332,903,1993,336,1665,3540,90,5486,237,98,87,759,449,232,114,253,127,161,830,310,23,58,124,2,0
5179,5070,7421,1169,5752,1267,3043,185,806,606,408,67174,5694,314,3032,1304,16636,1721,1414,2628,1044,481,4156,925,204,1788,480,576,256,1021,401,373,1050,2571,424,1933,4025,101,6508,281,109,95,848,508,264,119,275,174,177,947,415,30,60,145,2,0
5292,5994,8582,1298,6620,1351,3576,193,887,690,488,75832,6741,367,4117,1528,18696,2049,1662,2990,1113,566,4997,1083,224,2159,590,629,293,1250,495,434,1351,3128,498,2199,5237,108,7630,315,126,120,937,564,319,133,303,239,198,999,526,30,139,162,2,0
5588,6980,9816,1413,7738,1550,4261,249,1012,736,566,83889,7765,415,4748,1582,22255,2690,1985,3346,1279,719,5805,1293,258,2565,682,689,321,1511,586,488,1581,3557,549,2547,6424,129,9293,363,147,137,1073,624,368,143,344,286,217,1106,669,30,147,191,6,0
6585,7695,11190,1600,8966,1730,4880,273,1074,826,657,92770,9000,479,5444,1857,25590,2869,2331,3728,1458,879,7016,1554,283,3039,755,742,338,1706,653,554,1834,3824,614,2902,9150,165,10791,403,159,153,1177,683,393,146,376,316,241,1270,891,37,152,217,8,0
6966,8904,12569,1769,10402,1916,5669,296,1260,899,711,102870,10260,540,5967,2093,29895,3032,2758,4182,1549,988,8420,1700,317,3437,770,789,389,2012,757,624,2113,4915,699,3312,10297,187,12670,495,173,166,1358,738,450,156,432,378,262,1535,1013,38,154,242,8,0
7498,10357,13796,2019,11736,2112,6566,339,1428,999,806,114996,11537,621,6383,2402,34124,3265,3125,4574,1758,1159,10109,1917,349,3953,917,865,461,2407,902,701,2291,5276,786,3739,12496,212,14225,543,186,187,1455,743,593,169,456,452,281,1633,1077,42,223,282,8,0
7984,11276,15076,2269,12500,2267,7091,377,1605,1068,922,122911,12342,669,6742,2585,37505,3538,3609,4950,1880,1252,11589,2049,369,4411,1048,935,512,2637,998,763,2367,5675,868,4043,13010,240,15635,624,207,200,1638,853,673,185,470,475,298,1841,1101,42,265,324,8,0
8384,12262,16284,2465,13837,2440,8104,438,1675,1132,1082,130703,13621,715,7558,2870,41090,3753,4045,5172,1971,1327,13074,2232,385,4956,1057,986,543,2878,1097,853,2722,6906,946,4450,14867,288,17130,686,225,212,1738,927,783,189,499,513,319,2006,1170,43,266,345,8,0
8682,13549,17540,2575,15202,2578,8968,490,1752,1181,1229,140081,14739,747,9156,3220,44416,4010,4371,5429,2101,1472,14582,2417,408,5507,1289,1069,575,3333,1211,905,3037,7781,1048,4782,16284,320,18852,794,237,221,1915,997,928,211,519,573,319,2197,1210,45,274,412,8,0
9097,15078,19043,2726,16790,2756,9897,538,1875,1239,1450,149401,15690,788,10204,3423,47437,4246,5529,5655,2318,1524,16414,2552,433,5943,1393,1154,605,3645,1440,1055,3327,8781,1145,5148,17030,393,20220,865,251,230,2003,1077,1116,224,537,620,332,2499,1232,45,409,483,11,0
9608,16422,20191,3018,18941,2885,11372,594,1980,1321,1727,159937,16819,819,10885,3651,51027,4456,6185,6202,2456,1684,18379,2792,440,6351,1525,1242,628,4042,1523,1116,3539,9784,1270,5512,18283,447,21375,989,269,239,2260,1146,1209,233,560,683,354,2838,1353,46,542,524,11,0
9887,17887,21366,3112,20974,3068,12290,679,2103,1371,2015,170512,17960,885,11859,3906,54588,4793,6968,6510,2606,1794,20128,3065,463,6907,1702,1335,679,4509,1660,1180,3799,10538,1388,5878,19253,536,22646,1091,278,253,2469,1202,1326,244,586,725,365,3008,1397,46,577,537,11,0
10224,19180,22421,3393,22860,3213,13208,719,2206,1447,2349,180458,18978,929,12261,4310,58151,4983,7694,6893,2720,1868,21774,3207,484,7435,1851,1427,711,5077,1778,1283,4024,11510,1510,6250,20014,626,23853,1174,293,261,2642,1228,1479,255,616,788,377,3262,1407,51,681,593,11,0
10411,20852,23323,3539,25475,3341,13776,806,2303,1527,2665,188694,19855,985,12103,4520,61850,5144,8225,7303,2860,1970,22955,3319,497,7928,1963,1621,727,5274,1875,1338,4160,12035,1587,6604,20595,730,24494,1245,308,270,2781,1280,1625,270,633,897,387,3583,1426,51,716,615,11,0
10538,22025,24334,3702,26867,3428,14487,871,2363,1584,2976,195031,21011,1020,13125,4788,64584,5483,8936,7691,3036,2069,24295,3439,502,8236,2048,1650,748,5747,1955,1383,4388,13381,1710,6975,21016,868,25487,1345,331,275,2942,1475,1761,275,698,903,394,3805,1453,51,719,638,11,0
10694,23247,25758,3806,28163,3555,15303,931,2418,1633,3251,202208,21620,1091,13913,4992,68824,5654,9472,7941,3137,2184,25591,3553,511,8527,2210,1695,752,6171,2058,1439,4686,13989,1899,7280,21518,988,26844,1407,341,282,3087,1498,1926,283,734,923,399,3953,1464,51,721,697,13,0
10783,24593,27107,3962,29918,3721,16106,995,2549,1663,3529,213779,22526,1139,14583,5123,71030,5878,10032,8280,3212,2263,26804,3656,524,8955,2295,1809,759,6500,2197,1502,4895,14755,1995,7791,21951,1168,27893,1484,365,288,3360,1599,2014,291,770,974,404,4241,1507,51,750,725,13,0
11152,25734,28142,4234,32181,3875,16928,1094,2683,1736,3838,222284,23332,1211,15644,5463,75317,6090,10784,8675,3321,2357,28314,3931,535,9542,2429,1912,768,6889,2350,1594,5111,15884,2141,8414,22532,1311,29119,1597,393,296,3624,1620,2075,298,796,1043,415,4404,1528,51,790,739,13,0
11445,27575,29398,4507,34402,4045,18131,1216,2813,1785,4177,229642,24745,1287,16658,5859,78467,6438,11572,9047,3524,2465,30121,4086,547,10154,2522,2071,779,7491,2476,1731,5283,16809,2332,9107,23118,1411,29952,1711,439,305,3793,1695,2323,307,827,1068,422,4572,1566,51,796,776,14,0
11802,29160,30829,4719,36372,4199,18927,1348,2942,1844,4491,236763,25484,1342,17014,6140,81420,6637,12308,9433,3626,2570,31742,4246,568,10641,2707,2213,803,8053,2666,1820,5517,17550,2513,10222,23580,1542,30717,1798,528,309,3974,1777,2538,312,847,1118,426,4723,1577,53,805,825,14,0
11805,30357,31544,4929,38077,4346,19441,1474,3071,1910,4706,242817,26306,1392,17619,6493,85301,6845,12830,9730,3741,2599,32992,4377,574,11210,2960,2356,812,8537,2793,1898,5667,17962,2915,11602,23928,1635,31348,1845,585,313,4274,1781,2538,317,867,1213,433,4903,1581,53,808,890,14,0
12191,31508,33862,5064,39643,4499,20035,1648,3213,1956,5090,247543,27050,1447,18447,6764,88806,7015,13684,10106,3830,2680,34005,4439,578,11686,3050,2470,816,8990,2927,2031,5807,19815,3175,12919,24523,1685,31927,1971,627,317,4512,1971,2745,319,875,1252,433,5078,1638,54,811,908,14,0
12345,33059,35844,5251,41199,4620,20949,1727,3301,2002,5500,251720,27861,1491,19189,6951,92387,7341,14193,10447,3937,2807,35384,4608,580,12097,3193,2567,818,9630,3098,2115,5941,20360,3641,13725,24854,1755,32935,2072,644,322,4716,2262,2931,327,888,915,437,5327,1659,54,852,929,14,0
12539,35108,37573,5459,42944,4845,21769,1827,3451,2059,5841,257246,28301,1588,20099,7220,95865,7704,14775,10878,4081,2894,36763,4761,586,12438,3373,2721,823,10266,3206,2292,6137,22469,3764,14117,25258,1858,33929,2210,679,326,4894,2392,3200,335,907,915,439,5610,1688,54,911,939,14,0
12906,36935,39534,5769,46023,5052,22706,2191,3621,2127,6256,263460,29640,1670,20905,7608,99989,8230,15737,11262,4208,3017,38334,4917,590,13039,3548,2942,825,11000,3361,2615,6321,23100,3939,14694,25739,1956,35252,2379,709,332,5153,2599,3308,337,937,915,442,5832,1721,54,975,981,14,0
